,accepts_apple_pay,accepts_bitcoin,accepts_credit_cards,accepts_google_pay,alcohol,ambience,attire,best_nights,bike_parking,caters,coat_check,date,delivery,dogs_allowed,gender_neutral_restrooms,good_for,good_for_dancing,good_for_groups,good_for_kids,happy_hour,has_dairy-free_options,has_gluten-free_options,has_pool_table,has_soy-free_options,has_tv,liked_by_vegans,liked_by_vegetarians,noise_level,outdoor_seating,parking,price_range,rating,review,smoking,take-out,takes_reservations,waiter_service,wheelchair_accessible,wi-fi
0,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/9/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"This place is divine. That's just the only word for it. Everything they serve here is drowning in love. The staff are incredible. All that being said, it's very busy! Get there early and put your name on the list. It's not a large establishment and fills up fast. Parking is not good and often hard to find.I had their magnificent hot chocolate which is an experience all in itself. The only thing that comes close to the incomparable gloriousness of the hot chocolate is their fresh buttermilk biscuits (one is the size of an appetizer plate) and fresh strawberry jam. This was my breakfast this morning. Yup, that's it. I was so full I couldn't have eaten another bite and very, very happy.My husband had corned beef hash with country potatoes, two eggs and sourdough bread. The sourdough bread looks like it's a quarter of a normal loaf but it's actually just one piece cut in half. His meal was spectacular. I mean...I didn't like it but that's because that's not my thing. The sourdough was outstanding though, as I had a bite. Our dear friend had their vanilla custard cream brûlée French toast, bacon and two eggs. The two strips of bacon could have easily been like five normal pieces of bacon anywhere else. The French Toast (two pieces) was enormous! Enough for like four people to eat. I'll say it's quite loud in there with all the people and they have music on which adds to the din but the food...oh, the food! They also have a bar which you can order food at, so that's an option and opens up sooner than the booths. If you're lucky enough to get a table upstairs it's much quieter up there.",,Yes,No,,,Free
1,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/26/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"Word of Mouth is probably the most ""homey"" restaurant I've ever visited.  To be sure, I have visited restaurants that were converted houses, but none of them had the feeling of being ""at home"" like Word of Mouth did.  Word of Mouth's genuine hospitality and friendliness is off-the-charts great!!!We arrived at about 12:40 p.m. on a Saturday, and were told it would be about an hour wait (after I'd already waited approximately ten minutes to talk to the hostess to get my name on the list).  We lucked out on our visit in that we were offered bar seats if any became available, and our estimated one-hour wait turned into about ten as two seats at the bar opened up.After we'd ordered, and while waiting for our food, we were presented with a giant piece of REALLY great French toast (and I generally hate French toast) flying a ""Just Because"" flag.  We didn't order this, it was given to us ""just because""...just because Word of Mouth is amazing and treats their guests like family.  Even if the food was awful (which it isn't), the hospitality alone would be enough to bring me back.How is the food?  Overall, it is quite good!  One of my favorite items in the whole world is corned beef hash, and Word of Mouth's didn't disappoint.  It was tasty, the portion size was HUGE, and the over-hard eggs were cooked PERFECTLY.  The toast was the thickest toast I've even encountered, and it was really, really good.  The only issue is that it was pretty heavy with butter or oil, and the dish suffered as a result.Prepare for long waits, and elusive parking, and potentially greasy food, but DEFINITELY come to Word of Mouth!  You'll be happy that you did!",,Yes,No,,,Free
2,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/14/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,4.0,"The thing I love most about this place is the plate of love! I like not having to choose between a savory or a sweet dish. With the plate of love you get a slice of their french toast, two eggs, and your choice of hash! my friend had the filet mignon benedict. she said it was quite salty. my friend and i came on a saturday. Waited for about an hour and a half. can't say it was worth the wait but i'd definitely come back on a week day. service was good considering how busy they are.",,Yes,No,,,Free
3,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/30/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"This was a fantastic place, the staff recommended us great dishes of the menu to try, it was honestly the best Pacfic North West breakfast I've ever had! I will go back here next time I'm in town!!",,Yes,No,,,Free
4,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,6/23/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"Wow, and wow!  This automatically goes on the Must Go list!  Starting with all the fun they are having decorating inside the building, to the creative dishes.  This is a great example of how to do it right!If your in Portland, drive down and experience Salem!  Our experience started with a complementary taste of the pizza pancake - wow!  They were using bottled water to make the coffee -a real cup of coffee. Ordered the Chicken fried steak and classic egg Benedict with the fruit. One of the best Benedicts anywhere. Awesome hollandaise sauce, gravy, and steak!  If I had a Resturant I would be stealing our server, she was a breath of fresh air. Thank you everyone!",,Yes,No,,,Free
5,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/22/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,Honestly the best food and service I've had in a while. The staff is super sweet and helpful and food is amazing. I took a friend who was visiting from out of state and she fell in love with charm and atmosphere. We tried the incredible flying biscuit and left stuffed with still almost a whole container of food. The wait time is long but it's totally worth it!,,Yes,No,,,Free
6,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/12/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"The best food in Salem for breakfast and brunch. I've lived here most of my life and this place does not disappoint. I love the creme brûlée French toast and cinnamon roll pancakes for breakfast. But my husband loved the hash and huge bacon. The portobello mushroom sandwich is my fav! If it's your first time, tell them and get a special treat!",,Yes,No,,,Free
7,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,7/16/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"I don't know if i can add any relevant info that others haven't already written. What can I say, this place is great! Be prepared to wait, even on a weekday. I've arrived between 7-7:30 and have had to wait up to 20 minutes for a table for 2 people (even to just sit at the bar). The space is small but cozy and the decor is very eclectic. The service is always top-notch and everyone is super friendly. Parking can be tricky, but there's street parking just a block away.I've tried the brie and asparagus omelette, cinnamon roll pancakes, creme brulee french toast and just plain scrambled eggs, biscuit and bacon. The omelette was HUGE but delicious. There was so much brie in it, I wouldn't recommend ordering it if you're not a brie fanatic! It comes with a biscuit which was fluffy and delicious, especially with the jam. The fruit cup is also the best I've ever had from a restaurant - no plain melons or grapes here. The cinnamon roll pancake was also huge and very sweet. I really enjoyed it, though don't think I could eat more than a few bites. The french toast is delicious. All in all, the best breakfast place I've found in Salem!",,Yes,No,,,Free
8,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,8/28/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,We finally got to try this place after waiting for so long because of the wait times. They told us that the wait was about 45-an hour wait but seats at the bar opened up so we were seated within 20 minutes. My husband and I both ordered their hot chocolate and they were massive and delicious. I got the corned beef hash that came with 2 eggs and biscuits and gravy. Yummy!!! My husband had the fried chicken breakfast meal with fried eggs and bacon and biscuits and gravy on top. Our serve also gifted us with a sample of their creme brûlée French toast which was to die for!! The wait is definitely worth it and the servers were all super nice too.,,Yes,No,,,Free
9,No,,Yes,Yes,Full Bar,Casual,Casual,,Yes,No,,9/23/2018,No,,,"Breakfast, Brunch",,No,Yes,,Yes,,,,Yes,,Yes,Average,No,"Street, Private Lot",$11-30,5.0,"The best breakfast in town, you probably need to wait but you will not be disappointed. It is like eating breakfast in your mom or grandma house",,Yes,No,,,Free
